Algorithm;Input;Solution;Time
greedy;376;4483.0;4.953846153846154e-05
greedy;377;4530.0;4.623076923076923e-05
greedy;378;4314.0;6.792307692307692e-05
greedy;379;4338.0;5.169230769230769e-05
greedy;38;948.0;7.538461538461538e-06
greedy;380;4446.0;4.846153846153846e-05
greedy;38000;33308.0;0.005617923076923077
greedy;381;4226.0;6.0615384615384614e-05
greedy;382;4539.0;5.338461538461538e-05
greedy;383;4184.0;6.576923076923078e-05
greedy;384;4702.0;5.630769230769231e-05
greedy;385;4448.0;6.853846153846152e-05
greedy;386;4540.0;5.338461538461538e-05
greedy;387;4547.0;7.1e-05
greedy;388;4486.0;5.215384615384616e-05
greedy;389;4311.0;5.176923076923077e-05
greedy;39;943.0;1.0153846153846152e-05
greedy;390;4341.0;6.384615384615385e-05
greedy;39000;32686.0;0.006065846153846154
greedy;391;4509.0;5.269230769230769e-05
greedy;392;4352.0;5.161538461538462e-05
greedy;393;4778.0;5.646153846153846e-05
greedy;394;4449.0;5.738461538461538e-05
greedy;395;4767.0;5.030769230769231e-05
greedy;396;4470.0;5.6923076923076914e-05
greedy;397;4457.0;6.353846153846154e-05
greedy;398;4499.0;6.261538461538462e-05
greedy;399;4558.0;6.276923076923079e-05
greedy;4;110.0;4.692307692307692e-06
greedy;40;1053.0;7.999999999999998e-06
greedy;400;4684.0;4.969230769230768e-05
greedy;4000;13422.0;0.0006452307692307693
greedy;40000;33236.0;0.006577153846153847
greedy;400000;48510.0;0.05589538461538462
greedy;401;4187.0;5.723076923076923e-05
greedy;402;4497.0;4.992307692307693e-05
greedy;403;4718.0;5.661538461538462e-05
greedy;404;4446.0;6.038461538461539e-05
greedy;405;4460.0;5.269230769230769e-05
greedy;406;4220.0;5.530769230769231e-05
greedy;407;4120.0;5.1384615384615385e-05
greedy;408;4608.0;5.538461538461538e-05
greedy;409;4626.0;5.292307692307692e-05
greedy;41;1088.0;7.153846153846154e-06
greedy;410;4726.0;6.761538461538462e-05
greedy;41000;33458.0;0.006481846153846156
greedy;411;4628.0;5.169230769230769e-05
greedy;412;4512.0;6.838461538461539e-05
greedy;413;4681.0;5.4769230769230775e-05
greedy;414;4356.0;6.76923076923077e-05
greedy;415;4254.0;5.238461538461539e-05
greedy;416;4665.0;5.238461538461538e-05
greedy;417;4683.0;5.646153846153847e-05
greedy;418;4457.0;5.223076923076923e-05
greedy;419;4341.0;5.446153846153846e-05
greedy;42;1166.0;8e-06
greedy;420;4375.0;5.7538461538461526e-05
greedy;42000;33426.0;0.007636692307692308
greedy;421;4573.0;6.453846153846153e-05
greedy;422;4840.0;5.238461538461538e-05
greedy;423;5177.0;5.2923076923076925e-05
greedy;424;4930.0;6.461538461538462e-05
greedy;425;4477.0;5.8076923076923076e-05
greedy;426;4448.0;6.446153846153846e-05
greedy;427;4889.0;6.207692307692308e-05
greedy;428;4864.0;7.33076923076923e-05
greedy;429;4872.0;5.59230769230769e-05
greedy;43;931.0;8.23076923076923e-06
greedy;430;4638.0;5.546153846153847e-05
greedy;43000;34135.0;0.006350538461538461
greedy;431;4775.0;7.161538461538461e-05
greedy;432;5203.0;6.953846153846154e-05
greedy;433;4509.0;5.9e-05
greedy;434;4458.0;7.723076923076923e-05
greedy;435;4398.0;5.5538461538461545e-05
greedy;436;4288.0;7.63076923076923e-05
greedy;437;4760.0;5.353846153846154e-05
greedy;438;4681.0;5.746153846153846e-05
greedy;439;4760.0;6.546153846153845e-05
greedy;44;1074.0;7.6153846153846145e-06
greedy;440;5277.0;6.207692307692308e-05
greedy;44000;34928.0;0.0068022307692307705
greedy;441;4825.0;7.553846153846155e-05
greedy;442;4960.0;5.900000000000001e-05
greedy;443;4661.0;6.984615384615386e-05
greedy;444;4943.0;6.530769230769231e-05
greedy;445;4708.0;5.715384615384616e-05
greedy;446;5104.0;7.269230769230768e-05
greedy;447;4759.0;5.830769230769231e-05
greedy;448;4602.0;7.961538461538463e-05
greedy;449;5149.0;5.953846153846154e-05
greedy;45;919.0;8.76923076923077e-06
greedy;450;4471.0;6.138461538461537e-05
greedy;45000;34612.0;0.006680769230769231
greedy;451;5131.0;5.853846153846154e-05
greedy;452;4822.0;5.361538461538462e-05
greedy;453;4449.0;7.023076923076923e-05
greedy;454;4840.0;5.976923076923077e-05
greedy;455;4842.0;6.546153846153846e-05
greedy;456;4897.0;5.861538461538462e-05
greedy;457;4970.0;8.123076923076923e-05
greedy;458;4824.0;6.73846153846154e-05
greedy;459;4868.0;7.900000000000001e-05
greedy;46;1136.0;8.307692307692309e-06
greedy;460;4831.0;6.046153846153846e-05
greedy;46000;34618.0;0.007462153846153846
greedy;461;4574.0;6.315384615384615e-05
greedy;462;4943.0;6.492307692307692e-05
greedy;463;4974.0;6.2e-05
greedy;464;4527.0;7.26923076923077e-05
greedy;465;4973.0;6.23076923076923e-05
greedy;466;4759.0;8.507692307692305e-05
greedy;467;5315.0;5.876923076923077e-05
greedy;468;4856.0;7.107692307692308e-05
greedy;469;4665.0;5.938461538461538e-05
greedy;47;1301.0;1.2538461538461538e-05
greedy;470;4856.0;5.96923076923077e-05
greedy;47000;34737.0;0.0074626153846153835
greedy;471;4857.0;5.4000000000000005e-05
greedy;472;4858.0;9.446153846153848e-05
greedy;473;4806.0;6.315384615384615e-05
greedy;474;5019.0;6.546153846153846e-05
greedy;475;4931.0;6.115384615384614e-05
greedy;476;5003.0;7.153846153846153e-05
greedy;477;4998.0;6.953846153846154e-05
greedy;478;4942.0;0.00010084615384615384
greedy;479;5070.0;6.0307692307692304e-05
greedy;48;1183.0;9.692307692307695e-06
greedy;480;4996.0;7.384615384615384e-05
greedy;48000;34484.0;0.007726076923076921
greedy;481;4670.0;6.353846153846153e-05
greedy;482;4879.0;5.96923076923077e-05
greedy;483;5182.0;6.769230769230771e-05
greedy;484;5254.0;5.900000000000001e-05
greedy;485;4984.0;9.030769230769232e-05
greedy;486;4746.0;6.530769230769231e-05
greedy;487;5355.0;7.176923076923077e-05
greedy;488;4827.0;8.161538461538461e-05
greedy;489;5199.0;7.607692307692308e-05
greedy;49;1096.0;1.2076923076923076e-05
greedy;490;5034.0;6.607692307692308e-05
greedy;49000;35401.0;0.007149000000000001
greedy;491;4957.0;6.599999999999999e-05
greedy;492;5303.0;6.069230769230769e-05
greedy;493;5039.0;6.830769230769232e-05
greedy;494;5178.0;6.376923076923077e-05
greedy;495;4875.0;6.6e-05
greedy;496;4554.0;7.400000000000001e-05
greedy;497;4935.0;7.815384615384615e-05
greedy;498;5063.0;6.638461538461537e-05
greedy;499;5094.0;8.207692307692308e-05
greedy;5;69.0;4.307692307692308e-06
greedy;50;1329.0;8.53846153846154e-06
greedy;500;5115.0;7.684615384615384e-05
greedy;5000;13906.0;0.0009316923076923075
greedy;50000;35515.0;0.007947692307692308
greedy;500000;48877.0;0.06913530769230769
greedy;501;4890.0;6.923076923076922e-05
greedy;502;5166.0;6.307692307692309e-05
greedy;503;5083.0;7.546153846153845e-05
greedy;504;5295.0;7.053846153846154e-05
greedy;505;5030.0;6.507692307692307e-05
greedy;506;5310.0;6.569230769230769e-05
greedy;507;4989.0;6.36923076923077e-05
greedy;508;5311.0;7.66923076923077e-05
greedy;509;4819.0;7.030769230769231e-05
greedy;51;1224.0;9.230769230769232e-06
greedy;510;4875.0;7.030769230769231e-05
greedy;51000;35623.0;0.00871276923076923
greedy;511;5241.0;7.900000000000001e-05
greedy;512;5051.0;8.484615384615383e-05
greedy;513;5195.0;6.923076923076924e-05
greedy;514;5020.0;7.238461538461538e-05
greedy;515;5040.0;8.876923076923075e-05
greedy;516;5353.0;6.807692307692308e-05
greedy;517;5442.0;6.26923076923077e-05
greedy;518;5238.0;7.2e-05
greedy;519;4792.0;8.730769230769232e-05
greedy;52;1215.0;9.230769230769232e-06
greedy;520;5444.0;6.807692307692308e-05
greedy;52000;35965.0;0.0070376923076923064
greedy;521;5352.0;6.423076923076922e-05
greedy;522;5252.0;7.461538461538462e-05
greedy;523;5131.0;6.092307692307693e-05
greedy;524;5099.0;6.500000000000001e-05
greedy;525;5430.0;8.19230769230769e-05
greedy;526;5236.0;8.307692307692307e-05
greedy;527;5374.0;8.26923076923077e-05
greedy;528;5453.0;6.461538461538462e-05
greedy;529;5037.0;9.676923076923077e-05
greedy;53;1538.0;1.0153846153846154e-05
greedy;530;5260.0;8.076923076923078e-05
greedy;53000;36719.0;0.007610307692307693
greedy;531;5079.0;6.361538461538462e-05
greedy;532;5191.0;6.938461538461539e-05
greedy;533;5182.0;6.73846153846154e-05
greedy;534;5440.0;6.161538461538462e-05
